Month,Mean_Temprature
1916-08-31 00:00:00,26.77
1916-09-30 00:00:00,26.0
1916-10-31 00:00:00,24.6
1916-11-30 00:00:00,21.03
1916-12-31 00:00:00,18.17
1917-01-31 00:00:00,18.16
1917-02-28 00:00:00,19.94
1917-03-31 00:00:00,22.46
1917-04-30 00:00:00,25.29
1917-05-31 00:00:00,26.97
1917-06-30 00:00:00,27.41
1917-07-31 00:00:00,27.15
1917-08-31 00:00:00,26.64
1917-09-30 00:00:00,25.79
1917-10-31 00:00:00,23.85
1917-11-30 00:00:00,20.8
1917-12-31 00:00:00,18.39
1918-01-31 00:00:00,17.25
1918-02-28 00:00:00,19.58
1918-03-31 00:00:00,22.64
1918-04-30 00:00:00,25.26
1918-05-31 00:00:00,28.27
1918-06-30 00:00:00,27.58
1918-07-31 00:00:00,27.74
1918-08-31 00:00:00,26.97
1918-09-30 00:00:00,26.0
1918-10-31 00:00:00,24.54
1918-11-30 00:00:00,21.71
1918-12-31 00:00:00,18.37
1919-01-31 00:00:00,18.78
1919-02-28 00:00:00,19.15
1919-03-31 00:00:00,23.15
1919-04-30 00:00:00,26.19
1919-05-31 00:00:00,28.2
1919-06-30 00:00:00,28.3
1919-07-31 00:00:00,27.28
1919-08-31 00:00:00,26.84
1919-09-30 00:00:00,25.84
1919-10-31 00:00:00,24.36
1919-11-30 00:00:00,21.48
1919-12-31 00:00:00,18.58
1920-01-31 00:00:00,18.27
1920-02-29 00:00:00,19.16
1920-03-31 00:00:00,23.02
1920-04-30 00:00:00,25.73
1920-05-31 00:00:00,27.06
1920-06-30 00:00:00,27.76
1920-07-31 00:00:00,27.48
1920-08-31 00:00:00,26.61
1920-09-30 00:00:00,26.34
1920-10-31 00:00:00,24.85
1920-11-30 00:00:00,21.84
1920-12-31 00:00:00,18.78
1921-01-31 00:00:00,18.61
1921-02-28 00:00:00,22.12
1921-03-31 00:00:00,24.26
1921-04-30 00:00:00,27.11
1921-05-31 00:00:00,30.78
1921-06-30 00:00:00,28.04
1921-07-31 00:00:00,27.4
1921-08-31 00:00:00,26.59
1921-09-30 00:00:00,25.92
1921-10-31 00:00:00,23.84
1921-11-30 00:00:00,21.1
1921-12-31 00:00:00,19.24
1922-01-31 00:00:00,18.3
1922-02-28 00:00:00,20.5
1922-03-31 00:00:00,23.65
1922-04-30 00:00:00,26.55
1922-05-31 00:00:00,29.8
1922-06-30 00:00:00,28.03
1922-07-31 00:00:00,27.26
1922-08-31 00:00:00,26.95
1922-09-30 00:00:00,26.04
1922-10-31 00:00:00,23.94
1922-11-30 00:00:00,21.28
1922-12-31 00:00:00,18.39
1923-01-31 00:00:00,18.23
1923-02-28 00:00:00,19.35
1923-03-31 00:00:00,23.21
1923-04-30 00:00:00,26.81
1923-05-31 00:00:00,28.33
1923-06-30 00:00:00,28.95
1923-07-31 00:00:00,26.89
1923-08-31 00:00:00,26.71
1923-09-30 00:00:00,25.89
1923-10-31 00:00:00,23.89
1923-11-30 00:00:00,21.23
1923-12-31 00:00:00,19.08
1924-01-31 00:00:00,18.06
1924-02-29 00:00:00,19.97
1924-03-31 00:00:00,24.12
1924-04-30 00:00:00,26.87
1924-05-31 00:00:00,27.43
1924-06-30 00:00:00,28.6
1924-07-31 00:00:00,27.5
1924-08-31 00:00:00,26.91
1924-09-30 00:00:00,25.72
1924-10-31 00:00:00,24.5
1924-11-30 00:00:00,21.04
1924-12-31 00:00:00,18.97
1925-01-31 00:00:00,17.53
1925-02-28 00:00:00,19.08
1925-03-31 00:00:00,23.5
1925-04-30 00:00:00,27.24
